parent,child,segments
10,8,"[0, 1, 2]"
11,10,[0]
11,10,"[1, 2]"
12,11,"[0, 1, 2]"
13,5,"[0, 1, 2]"
14,1,"[0, 1, 2]"
15,13,"[0, 2]"
16,13,[1]
16,4,"[0, 1, 2]"
17,9,"[0, 1, 2]"
18,15,[2]
18,17,[1]
19,16,"[0, 1, 2]"
20,12,[2]
20,0,"[0, 1, 2]"
21,12,"[0, 1]"
22,3,"[0, 1, 2]"
23,21,[0]
23,14,[0]
24,6,"[0, 1, 2]"
25,17,"[0, 2]"
26,7,"[0, 1, 2]"
27,20,"[0, 1, 2]"
27,19,[2]
28,14,"[1, 2]"
28,23,[0]
29,18,"[1, 2]"
30,27,"[0, 1, 2]"
31,28,"[0, 1, 2]"
31,15,[0]
32,2,"[0, 1, 2]"
33,19,"[0, 1]"
34,33,[1]
34,22,[0]
35,22,"[1, 2]"
36,35,[2]
36,32,"[0, 1]"
37,31,"[0, 1, 2]"
38,37,"[0, 1]"
39,34,"[0, 1]"
40,30,"[1, 2]"
41,35,[1]
41,38,[0]
42,29,[2]
42,37,[2]
43,26,"[0, 2]"
44,36,"[0, 1, 2]"
45,38,[1]
45,33,[0]
46,43,[2]
46,44,[0]
47,43,[0]
47,26,[1]
48,24,"[1, 2]"
49,46,"[0, 2]"
49,40,[2]
50,47,"[0, 1]"
50,21,[1]
51,45,"[0, 1]"
52,49,"[0, 2]"
53,52,[2]
53,32,[2]
54,48,[1]
54,24,[0]
55,44,"[1, 2]"
56,25,[2]
56,29,[1]
57,56,"[1, 2]"
58,57,[2]
58,42,[2]
59,58,[2]
59,54,"[0, 1]"
60,50,"[0, 1]"
61,51,[0]
61,25,[0]
62,59,"[0, 1, 2]"
63,62,"[1, 2]"
64,57,[1]
64,52,[0]
65,39,[0]
65,41,"[0, 1]"
66,64,"[0, 1]"
66,60,[1]
67,63,[1]
67,40,[1]
68,65,"[0, 1]"
69,30,[0]
69,48,[2]
70,55,[2]
70,39,[1]
71,69,"[0, 2]"
72,70,"[1, 2]"
73,66,"[0, 1]"
74,72,[2]
74,68,[0]
75,74,"[0, 2]"
76,71,[0]
76,75,[2]
77,76,"[0, 2]"
78,73,[1]
78,51,[1]
79,72,[1]
79,78,[1]
80,71,[2]
80,63,[2]
81,61,[0]
81,73,[0]
82,62,[0]
82,53,[2]
83,82,"[0, 2]"
84,81,[0]
84,83,[0]
85,75,[0]
85,84,[0]
86,80,[2]
86,60,[0]
87,68,[1]
87,79,[1]
88,83,[2]
88,77,[0]
89,86,"[0, 2]"
89,55,[1]
90,89,"[0, 1, 2]"
91,88,"[0, 2]"
92,91,[0]
92,90,"[1, 2]"
93,92,"[0, 1, 2]"
94,90,[0]
94,91,[2]
95,93,"[0, 1]"
96,94,"[0, 2]"
97,93,[2]
97,87,[1]
98,77,[2]
98,95,[1]
99,98,"[1, 2]"
99,96,[2]
100,99,"[1, 2]"
101,100,[1]
101,85,[0]
102,97,"[1, 2]"
103,101,"[0, 1]"
104,67,[1]
104,95,[0]
105,102,[2]
105,104,"[0, 1]"
106,105,"[0, 1, 2]"
107,106,"[0, 1]"
108,100,[2]
108,106,[2]
109,103,[1]
109,102,[1]
110,103,[0]
110,96,[0]
111,107,[1]
111,110,[0]
112,111,"[0, 1]"
113,112,[1]
113,107,[0]
114,113,"[0, 1]"
115,114,[1]
115,114,[0]
116,115,"[0, 1]"
117,116,[1]
117,112,[0]
118,117,"[0, 1]"
119,116,[0]
119,109,[1]
120,119,"[0, 1]"
121,120,[1]
121,118,[0]
122,121,"[0, 1]"
123,118,[1]
123,122,[1]
124,120,[0]
124,122,[0]
