parent,child,segments
10,6,"[0, 1, 2]"
10,5,"[0, 1, 2]"
11,7,"[0, 1, 2]"
11,3,"[0, 1, 2]"
12,0,"[0, 1, 2]"
12,2,"[0, 1, 2]"
13,11,"[0, 1, 2]"
14,8,"[0, 1, 2]"
14,4,"[0, 1, 2]"
15,1,"[0, 1, 2]"
15,12,"[0, 1, 2]"
16,10,"[0, 1, 2]"
17,14,"[0, 1, 2]"
18,9,"[0, 1, 2]"
18,17,"[1, 2]"
19,13,"[1, 2]"
19,17,[0]
20,19,"[0, 1, 2]"
20,18,"[0, 1, 2]"
21,20,"[0, 1, 2]"
21,16,[2]
22,13,[0]
22,21,"[0, 1, 2]"
23,15,"[0, 1, 2]"
23,16,"[0, 1]"
24,23,"[0, 1, 2]"
25,22,"[0, 1, 2]"
25,24,"[0, 1]"
26,24,[2]
26,25,[2]
