parent,child,segments
10,9,"[0, 1, 2]"
11,8,"[0, 1, 2]"
12,3,"[0, 1, 2]"
12,6,"[0, 1, 2]"
13,4,"[0, 1, 2]"
14,10,[1]
14,11,[2]
15,1,"[0, 1, 2]"
15,12,"[0, 1, 2]"
16,15,"[0, 1, 2]"
17,10,"[0, 2]"
18,17,[0]
18,2,"[0, 1, 2]"
19,7,"[0, 1, 2]"
20,5,"[0, 1, 2]"
20,0,"[0, 1, 2]"
21,19,"[0, 2]"
22,19,[1]
22,16,"[0, 1]"
23,13,[1]
23,18,"[0, 1, 2]"
24,11,"[0, 1]"
25,22,"[0, 1]"
25,23,"[0, 1, 2]"
26,24,[0]
26,21,[0]
27,13,"[0, 2]"
27,24,[1]
28,26,[0]
28,17,[2]
29,25,"[0, 1, 2]"
30,29,"[1, 2]"
31,21,[2]
31,30,[2]
32,27,"[0, 1, 2]"
32,16,[2]
33,20,"[0, 1, 2]"
34,33,[1]
34,30,[1]
35,34,[1]
35,14,"[1, 2]"
36,33,"[0, 2]"
37,35,"[1, 2]"
38,32,"[0, 1, 2]"
38,36,[0]
39,28,"[0, 2]"
39,37,[2]
40,36,[2]
40,31,[2]
41,37,[1]
41,38,"[0, 1, 2]"
42,29,[0]
42,39,"[0, 2]"
43,42,"[0, 2]"
44,41,"[0, 2]"
45,43,[0]
45,44,[2]
46,45,"[0, 2]"
46,44,[0]
47,43,[2]
47,46,[2]
48,47,[2]
48,40,[2]
