parent,child,segments
10,5,"[0, 1, 2]"
10,6,"[0, 1, 2]"
11,4,"[0, 1, 2]"
11,0,"[0, 1, 2]"
12,9,"[0, 1, 2]"
12,7,"[0, 1, 2]"
13,8,"[0, 1, 2]"
13,12,"[0, 1, 2]"
14,1,"[0, 1, 2]"
14,2,"[0, 1, 2]"
15,10,"[0, 1, 2]"
16,11,"[0, 1, 2]"
17,14,"[0, 1, 2]"
18,3,"[0, 1, 2]"
19,16,[2]
19,18,[2]
20,13,"[0, 1, 2]"
21,20,"[1, 2]"
21,18,"[0, 1]"
22,20,[0]
22,21,"[0, 1, 2]"
23,15,"[1, 2]"
23,17,[0]
24,23,"[0, 1, 2]"
25,16,"[0, 1]"
25,15,[0]
26,22,"[0, 1, 2]"
27,26,"[1, 2]"
27,17,"[1, 2]"
28,24,"[1, 2]"
29,24,[0]
29,19,[2]
30,29,"[0, 2]"
30,26,[0]
31,27,"[1, 2]"
32,31,[1]
32,28,[2]
33,25,"[0, 1]"
34,30,"[0, 2]"
34,28,[1]
35,32,"[1, 2]"
35,33,[1]
36,35,"[1, 2]"
37,34,"[0, 1, 2]"
38,33,[0]
38,36,[2]
39,37,[2]
39,38,"[0, 2]"
40,37,"[0, 1]"
40,36,[1]
41,39,"[0, 2]"
42,31,[2]
42,40,[0]
43,41,[0]
43,41,[2]
44,42,"[0, 2]"
45,43,"[0, 2]"
46,45,[2]
46,45,[0]
47,44,[2]
47,46,"[0, 2]"
48,47,[0]
48,44,[0]
