parent,child,segments
10,5,"[0, 1, 2]"
11,7,"[0, 1, 2]"
12,0,"[0, 1, 2]"
13,11,[0]
13,2,"[0, 1, 2]"
14,4,"[0, 1, 2]"
15,9,"[0, 1, 2]"
16,10,"[0, 1]"
17,12,"[1, 2]"
17,14,[1]
18,11,"[1, 2]"
18,15,[0]
19,18,"[0, 1, 2]"
20,19,"[1, 2]"
20,16,[0]
21,1,"[0, 1, 2]"
21,10,[2]
22,20,"[0, 1, 2]"
23,17,"[1, 2]"
23,22,"[0, 1]"
24,23,"[0, 1, 2]"
25,21,"[0, 1, 2]"
26,3,"[0, 1, 2]"
27,13,"[0, 1, 2]"
28,27,"[0, 2]"
29,15,"[1, 2]"
29,25,[0]
30,29,"[0, 1, 2]"
31,27,[1]
31,19,[0]
32,14,"[0, 2]"
33,31,"[0, 1]"
33,25,"[1, 2]"
34,6,"[0, 1, 2]"
35,30,"[0, 1]"
36,26,"[1, 2]"
37,34,[2]
37,24,"[0, 1]"
38,8,"[0, 1, 2]"
39,33,"[0, 1, 2]"
40,38,"[0, 2]"
40,24,[2]
41,12,[0]
41,37,"[0, 1, 2]"
42,28,[0]
42,36,[1]
43,41,"[0, 1, 2]"
44,39,"[0, 2]"
45,43,[0]
45,42,"[0, 1]"
46,45,"[0, 1]"
47,46,[1]
47,43,"[1, 2]"
48,28,[2]
48,36,[2]
49,34,"[0, 1]"
50,47,"[1, 2]"
51,44,[0]
51,26,[0]
52,50,[2]
52,49,[1]
53,44,[2]
53,22,[2]
54,53,[2]
54,35,[1]
55,35,[0]
55,16,[1]
56,50,[1]
56,39,[1]
57,48,[2]
57,54,"[1, 2]"
58,52,"[1, 2]"
59,51,[0]
59,32,[2]
60,32,[0]
60,40,"[0, 2]"
61,30,[2]
61,38,[1]
62,61,"[1, 2]"
63,60,"[0, 2]"
64,62,[2]
64,55,"[0, 1]"
65,57,"[1, 2]"
66,59,"[0, 2]"
66,63,[2]
67,66,"[0, 2]"
68,64,"[0, 1, 2]"
69,56,[1]
69,62,[1]
70,67,[2]
70,65,[2]
71,49,[0]
71,46,[0]
72,69,[1]
72,71,[0]
73,58,[1]
73,72,"[0, 1]"
74,68,"[0, 1]"
75,58,[2]
75,74,[1]
76,68,[2]
76,70,[2]
77,75,"[1, 2]"
77,67,[0]
78,76,[2]
78,77,"[0, 1, 2]"
79,73,"[0, 1]"
80,78,"[0, 1]"
81,79,[0]
81,74,[0]
82,80,[1]
82,81,[0]
83,80,[0]
83,82,"[0, 1]"
84,83,"[0, 1]"
85,65,[1]
85,84,[1]
86,84,[0]
86,85,[1]
87,86,"[0, 1]"
88,87,[0]
88,79,[1]
89,88,"[0, 1]"
90,89,[1]
90,63,[0]
91,90,"[0, 1]"
92,87,[1]
92,91,[1]
93,91,[0]
93,89,[0]
