parent,child,segments
10,5,"[0, 1, 2]"
11,3,"[0, 1, 2]"
11,7,"[0, 1, 2]"
12,2,"[0, 1, 2]"
13,9,"[0, 1, 2]"
13,0,"[0, 1, 2]"
14,1,"[0, 1, 2]"
14,11,"[0, 1, 2]"
15,8,"[0, 1, 2]"
15,13,"[0, 1, 2]"
16,10,"[0, 1]"
16,14,"[0, 1, 2]"
17,12,[2]
17,16,"[0, 1, 2]"
18,6,"[0, 1, 2]"
19,12,"[0, 1]"
19,4,"[0, 1, 2]"
20,18,"[0, 1]"
20,19,"[0, 1, 2]"
21,20,"[0, 1, 2]"
21,18,[2]
22,21,"[0, 1, 2]"
23,22,"[1, 2]"
24,15,"[0, 1, 2]"
25,23,[2]
25,10,[2]
26,25,[2]
26,23,[1]
27,17,"[0, 1, 2]"
28,24,"[1, 2]"
28,24,[0]
29,26,"[1, 2]"
29,22,[0]
30,27,"[1, 2]"
31,30,[2]
31,27,[0]
32,28,"[0, 1, 2]"
33,31,"[0, 2]"
34,29,"[0, 1, 2]"
35,34,[2]
35,33,[2]
36,34,"[0, 1]"
37,36,[0]
37,30,[1]
38,32,"[1, 2]"
39,37,"[0, 1]"
39,33,[0]
40,39,"[0, 1]"
41,38,[1]
41,36,[1]
42,32,[0]
42,35,[2]
43,42,"[0, 2]"
44,41,[1]
44,43,[0]
45,44,"[0, 1]"
45,40,[1]
46,45,[0]
46,40,[0]
47,38,[2]
47,43,[2]
