parent,child,segments
10,4,"[0, 1, 2]"
10,9,"[0, 1, 2]"
11,3,"[0, 1, 2]"
12,5,"[0, 1, 2]"
13,2,"[0, 1, 2]"
13,1,"[0, 1, 2]"
14,8,"[0, 1, 2]"
14,12,[0]
15,11,"[0, 1]"
15,7,"[0, 1, 2]"
16,14,"[0, 1, 2]"
17,16,"[1, 2]"
17,15,"[0, 1, 2]"
18,12,"[1, 2]"
18,10,"[0, 1, 2]"
19,6,"[0, 1, 2]"
19,16,[0]
20,13,"[0, 1, 2]"
21,20,"[1, 2]"
22,0,"[0, 1, 2]"
23,19,"[0, 1, 2]"
23,21,[2]
24,20,[0]
24,23,"[0, 1, 2]"
25,24,"[0, 1, 2]"
26,18,"[0, 1, 2]"
27,22,"[1, 2]"
27,25,"[0, 2]"
28,26,[0]
28,21,[1]
29,22,[0]
29,26,"[1, 2]"
30,28,"[0, 1]"
30,11,[2]
31,27,"[0, 1, 2]"
32,31,[2]
32,31,"[0, 1]"
33,32,"[0, 1, 2]"
34,17,"[0, 1, 2]"
34,33,"[1, 2]"
35,29,"[0, 1, 2]"
36,25,[1]
36,35,[0]
37,34,"[0, 1, 2]"
37,36,"[0, 1]"
38,37,"[0, 1, 2]"
39,33,[0]
39,38,"[0, 1]"
40,39,"[0, 1]"
41,35,"[1, 2]"
42,40,[1]
42,30,"[0, 1, 2]"
43,38,[2]
43,41,[2]
44,42,"[0, 1, 2]"
45,44,"[1, 2]"
46,44,[0]
46,45,[1]
47,41,[1]
47,40,[0]
48,46,"[0, 1]"
49,47,"[0, 1]"
49,45,[2]
50,49,"[0, 1, 2]"
51,50,"[1, 2]"
52,51,[2]
52,48,[0]
53,52,"[0, 2]"
54,48,[1]
54,53,[2]
55,43,[2]
55,54,"[1, 2]"
56,53,[0]
56,51,[1]
57,56,"[0, 1]"
58,55,[1]
58,57,[1]
59,57,[0]
59,50,[0]
