parent,child,segments
10,2,"[0, 1, 2]"
11,10,"[0, 1]"
12,0,"[0, 1, 2]"
13,3,"[0, 1, 2]"
14,8,"[0, 1, 2]"
15,7,"[0, 1, 2]"
16,1,"[0, 1, 2]"
17,16,"[0, 1]"
18,13,"[0, 2]"
19,6,"[0, 1, 2]"
20,18,[2]
20,15,"[0, 2]"
21,17,[1]
21,13,[1]
22,9,"[0, 1, 2]"
23,4,"[0, 1, 2]"
24,19,"[0, 2]"
25,14,[1]
25,24,[0]
26,5,"[0, 1, 2]"
26,23,"[1, 2]"
27,15,[1]
27,17,[0]
28,12,"[0, 2]"
29,26,"[0, 1, 2]"
30,29,"[0, 2]"
31,28,[0]
31,14,"[0, 2]"
32,22,[0]
32,29,[1]
33,21,[1]
33,11,[0]
34,33,"[0, 1]"
35,30,[0]
35,31,"[0, 2]"
36,27,"[0, 1]"
37,19,[1]
37,32,"[0, 1]"
38,20,"[0, 2]"
39,18,[0]
39,36,[0]
40,30,[2]
40,28,[2]
41,35,"[0, 2]"
42,25,"[0, 1]"
42,22,"[1, 2]"
43,36,[1]
43,37,"[0, 1]"
44,42,"[0, 1, 2]"
45,38,[2]
45,24,[2]
46,40,[2]
46,11,[1]
47,43,"[0, 1]"
48,46,"[1, 2]"
49,10,[2]
49,23,[0]
50,48,[1]
50,49,"[0, 2]"
51,38,[0]
51,41,[0]
52,50,"[0, 1, 2]"
53,34,[1]
53,52,"[1, 2]"
54,44,"[0, 1]"
54,48,[2]
55,44,[2]
55,41,[2]
56,47,[1]
56,51,[0]
57,53,"[1, 2]"
58,56,"[0, 1]"
59,54,"[0, 1, 2]"
60,58,[0]
60,12,[1]
61,16,[2]
61,59,[0]
62,55,[2]
62,57,[2]
63,60,"[0, 1]"
64,47,[0]
64,57,[1]
65,34,[0]
65,63,[1]
66,65,"[0, 1]"
66,61,"[0, 2]"
67,64,"[0, 1]"
67,63,[0]
68,59,"[1, 2]"
69,66,"[0, 1, 2]"
69,52,[0]
70,67,"[0, 1]"
71,69,"[0, 1, 2]"
72,71,"[0, 1]"
73,70,[0]
73,72,[1]
74,71,[2]
74,45,[2]
75,73,"[0, 1]"
76,62,[2]
76,68,[1]
77,70,[1]
77,76,"[1, 2]"
78,68,[2]
78,77,"[1, 2]"
79,78,"[1, 2]"
80,72,[0]
80,75,[0]
81,79,[1]
81,79,[2]
82,81,"[1, 2]"
83,82,[2]
83,74,[2]
84,75,[1]
84,82,[1]
85,39,[0]
85,84,[1]
86,85,"[0, 1]"
87,80,[0]
87,86,[1]
88,87,"[0, 1]"
89,58,[1]
89,86,[0]
90,89,"[0, 1]"
91,90,[0]
91,88,[1]
92,91,"[0, 1]"
93,90,[1]
93,92,[0]
94,93,"[0, 1]"
95,92,[1]
95,88,[0]
96,95,"[0, 1]"
97,94,[0]
97,96,[1]
98,97,"[0, 1]"
98,96,[0]
99,98,[1]
99,94,[1]
