parent,child,segments
10,0,"[0, 1, 2]"
10,8,"[0, 1, 2]"
11,3,"[0, 1, 2]"
11,4,"[0, 1, 2]"
12,10,"[0, 1, 2]"
13,11,"[0, 1, 2]"
14,12,[1]
14,13,"[0, 1]"
15,1,"[0, 1, 2]"
16,15,[1]
16,15,"[0, 2]"
17,16,"[0, 1, 2]"
17,9,"[0, 1, 2]"
18,14,"[0, 1]"
18,7,"[0, 1, 2]"
19,17,"[0, 1, 2]"
20,2,"[0, 1, 2]"
21,18,"[0, 1, 2]"
22,20,"[1, 2]"
23,21,"[0, 1]"
23,21,[2]
24,20,[0]
24,12,"[0, 2]"
25,22,[2]
25,19,"[0, 2]"
26,6,"[0, 1, 2]"
26,19,[1]
27,13,[2]
27,23,"[0, 1, 2]"
28,25,"[0, 2]"
28,24,"[0, 2]"
29,27,"[0, 1, 2]"
29,28,"[0, 2]"
30,22,[1]
30,5,"[0, 1, 2]"
31,26,"[0, 1, 2]"
32,29,"[0, 1, 2]"
32,31,"[1, 2]"
33,30,"[0, 1, 2]"
34,33,[1]
34,31,[0]
35,34,"[0, 1]"
35,32,"[0, 1, 2]"
36,35,"[0, 2]"
37,36,[0]
37,33,"[0, 2]"
38,36,[2]
38,37,[2]
