parent,child,segments
10,4,"[0, 1, 2]"
10,6,"[0, 1, 2]"
11,1,"[0, 1, 2]"
11,5,"[0, 1, 2]"
12,0,"[0, 1, 2]"
12,10,"[0, 1, 2]"
13,7,"[0, 1, 2]"
14,8,"[0, 1, 2]"
15,11,"[0, 1, 2]"
15,12,"[0, 1, 2]"
16,3,"[0, 1, 2]"
16,14,[2]
17,13,"[1, 2]"
17,13,[0]
18,15,"[0, 1, 2]"
18,17,"[0, 1, 2]"
19,9,"[0, 1, 2]"
19,16,"[0, 1, 2]"
20,14,"[0, 1]"
20,19,"[0, 1, 2]"
21,18,"[0, 1, 2]"
21,2,"[0, 1, 2]"
22,21,"[0, 1, 2]"
23,20,"[0, 1, 2]"
23,22,[0]
24,23,"[1, 2]"
25,24,[1]
25,24,[2]
26,25,"[1, 2]"
27,22,"[1, 2]"
28,27,[1]
28,27,[2]
29,28,"[1, 2]"
30,29,[1]
30,26,[1]
31,29,[2]
31,26,[2]
