parent,child,segments
10,0,"[0, 1, 2]"
10,9,"[0, 1, 2]"
11,3,"[0, 1, 2]"
11,2,"[0, 1, 2]"
12,6,"[0, 1, 2]"
12,7,"[0, 1, 2]"
13,1,"[0, 1, 2]"
13,12,"[0, 1, 2]"
14,4,"[0, 1, 2]"
15,5,"[0, 1, 2]"
15,13,"[0, 1, 2]"
16,15,"[0, 1, 2]"
16,8,"[0, 1, 2]"
17,14,"[0, 1]"
18,16,"[0, 1, 2]"
19,14,[2]
19,10,"[0, 1, 2]"
20,18,"[0, 2]"
21,17,[0]
21,20,[2]
22,11,"[0, 1, 2]"
22,21,"[0, 2]"
23,17,[1]
23,22,"[0, 1, 2]"
24,19,"[0, 1, 2]"
25,20,[0]
25,24,[0]
26,23,"[0, 1, 2]"
27,18,[1]
27,26,[1]
28,24,"[1, 2]"
29,25,[0]
29,26,"[0, 2]"
30,29,[2]
30,28,[2]
31,28,[1]
31,27,[1]
