parent,child,segments
10,4,"[0, 1, 2]"
10,1,"[0, 1, 2]"
11,0,"[0, 1, 2]"
12,9,"[0, 1, 2]"
13,11,"[0, 1]"
13,12,[2]
14,13,"[0, 1, 2]"
14,6,"[0, 1, 2]"
15,10,"[0, 1, 2]"
16,5,"[0, 1, 2]"
17,14,"[0, 1, 2]"
17,15,[0]
18,7,"[0, 1, 2]"
19,18,"[0, 2]"
19,12,"[0, 1]"
20,15,"[1, 2]"
21,8,"[0, 1, 2]"
22,11,[2]
22,21,"[0, 1]"
23,3,"[0, 1, 2]"
24,16,[2]
24,2,"[0, 1, 2]"
25,20,[2]
25,23,"[0, 1]"
26,22,"[0, 1, 2]"
26,25,"[0, 1, 2]"
27,16,"[0, 1]"
27,24,"[0, 1, 2]"
28,27,"[0, 1, 2]"
28,26,"[0, 1, 2]"
29,18,[1]
29,28,"[0, 1, 2]"
30,19,"[0, 1, 2]"
31,29,"[0, 1, 2]"
32,31,"[1, 2]"
33,31,[0]
33,23,[2]
34,21,[2]
34,33,"[0, 2]"
35,17,"[0, 1, 2]"
35,30,"[0, 1]"
36,34,"[0, 2]"
37,36,[0]
37,36,[2]
38,32,[2]
38,32,[1]
39,35,"[0, 1, 2]"
39,37,"[0, 2]"
40,39,"[1, 2]"
41,20,[1]
41,30,[2]
42,38,"[1, 2]"
43,41,"[1, 2]"
44,42,[1]
44,40,[1]
45,40,[2]
45,43,[2]
46,45,[2]
46,42,[2]
47,43,[1]
47,44,[1]
