parent,child,segments
10,4,"[0, 1, 2]"
11,8,"[0, 1, 2]"
11,10,"[0, 2]"
12,9,"[0, 1, 2]"
13,7,"[0, 1, 2]"
14,6,"[0, 1, 2]"
14,11,"[0, 1, 2]"
15,2,"[0, 1, 2]"
16,1,"[0, 1, 2]"
17,12,"[1, 2]"
18,10,[1]
18,15,[2]
19,0,"[0, 1, 2]"
20,14,"[0, 1, 2]"
21,20,"[1, 2]"
21,19,[0]
22,19,"[1, 2]"
22,15,"[0, 1]"
23,17,[1]
23,18,"[1, 2]"
24,22,"[0, 1, 2]"
25,23,"[1, 2]"
25,16,"[1, 2]"
26,21,"[0, 1, 2]"
27,13,"[0, 1]"
27,24,"[0, 2]"
28,16,[0]
28,20,[0]
29,28,[0]
29,5,"[0, 1, 2]"
30,26,"[0, 1]"
30,13,[2]
31,27,"[0, 1, 2]"
32,29,"[0, 1, 2]"
32,26,[2]
33,31,"[0, 2]"
34,30,"[0, 1, 2]"
35,32,"[0, 1, 2]"
36,34,"[0, 1]"
37,3,"[0, 1, 2]"
38,31,[1]
38,36,[1]
39,37,"[0, 1]"
40,35,"[0, 1]"
40,36,[0]
41,34,[2]
41,39,[0]
42,38,[1]
42,24,[1]
43,41,"[0, 2]"
44,39,[1]
44,40,"[0, 1]"
45,33,[0]
45,43,[2]
46,44,"[0, 1]"
46,35,[2]
47,25,"[1, 2]"
48,46,"[0, 1, 2]"
49,17,[2]
49,12,[0]
50,48,"[0, 2]"
51,45,"[0, 2]"
52,42,[1]
52,51,[2]
53,52,"[1, 2]"
54,49,"[0, 2]"
55,53,[2]
55,50,[0]
56,55,"[0, 2]"
57,54,[2]
57,53,[1]
58,47,[2]
58,50,[2]
59,51,[0]
59,56,[2]
60,57,"[1, 2]"
61,60,[1]
61,58,[2]
62,61,"[1, 2]"
63,37,[2]
63,54,[0]
64,59,"[0, 2]"
65,43,[0]
65,62,[1]
66,56,[0]
66,33,[2]
67,66,"[0, 2]"
67,64,[2]
68,65,"[0, 1]"
69,63,"[0, 2]"
70,48,[1]
70,67,"[0, 2]"
71,70,"[0, 1, 2]"
72,69,[2]
72,71,"[0, 1]"
73,64,[0]
73,72,"[0, 1, 2]"
74,60,[2]
74,73,"[0, 1, 2]"
75,74,"[0, 1, 2]"
76,47,[1]
76,71,[2]
77,76,"[1, 2]"
78,75,"[0, 2]"
79,77,[2]
79,78,[2]
80,79,[2]
80,68,[0]
81,80,"[0, 2]"
82,68,[1]
82,78,[0]
83,82,"[0, 1]"
84,81,[2]
84,83,[1]
85,84,"[1, 2]"
86,85,[2]
86,83,[0]
87,85,[1]
87,75,[1]
88,86,"[0, 2]"
89,69,[0]
89,88,[2]
90,89,"[0, 2]"
91,77,[1]
91,62,[2]
92,91,"[1, 2]"
93,92,[1]
93,87,[1]
94,90,[2]
94,92,[2]
95,90,[0]
95,81,[0]
96,95,[0]
96,88,[0]
