parent,child,segments
10,9,"[0, 1, 2]"
11,2,"[0, 1, 2]"
12,1,"[0, 1, 2]"
13,10,"[1, 2]"
14,3,"[0, 1, 2]"
15,10,[0]
15,11,[1]
16,11,"[0, 2]"
17,0,"[0, 1, 2]"
17,14,"[1, 2]"
18,12,"[0, 2]"
19,15,"[0, 1]"
19,12,[1]
20,17,"[0, 1, 2]"
20,8,"[0, 1, 2]"
21,5,"[0, 1, 2]"
22,16,[2]
22,18,[0]
23,4,"[0, 1, 2]"
23,14,[0]
24,18,[2]
24,13,[1]
25,20,"[0, 1, 2]"
26,7,"[0, 1, 2]"
26,13,[2]
27,22,"[0, 2]"
28,23,"[0, 1, 2]"
29,28,"[0, 2]"
29,21,[2]
30,25,"[0, 2]"
31,19,"[0, 1]"
31,27,[2]
32,24,"[1, 2]"
32,16,[0]
33,26,"[0, 1, 2]"
34,31,"[0, 1, 2]"
35,6,"[0, 1, 2]"
35,28,[1]
36,35,"[0, 1, 2]"
37,29,"[0, 2]"
37,30,[0]
38,21,"[0, 1]"
38,33,[1]
39,33,"[0, 2]"
39,30,[2]
40,27,[0]
40,34,[2]
41,34,"[0, 1]"
42,38,"[0, 1]"
43,41,[1]
43,41,[0]
44,39,"[0, 2]"
45,32,"[0, 1, 2]"
46,40,"[0, 2]"
46,42,[0]
47,44,[0]
47,37,"[0, 2]"
48,46,"[0, 2]"
49,36,"[0, 2]"
50,43,"[0, 1]"
50,49,[2]
51,50,"[0, 1, 2]"
52,42,[1]
52,45,"[0, 1]"
53,49,[0]
53,52,"[0, 1]"
54,53,"[0, 1]"
55,54,[1]
55,51,[1]
56,47,"[0, 2]"
56,55,[1]
57,56,"[0, 1, 2]"
58,36,[1]
58,48,[0]
59,25,[1]
59,45,[2]
60,58,"[0, 1]"
61,51,"[0, 2]"
62,57,"[1, 2]"
63,48,[2]
63,62,[1]
64,59,"[1, 2]"
64,57,[0]
65,63,"[1, 2]"
66,60,[0]
66,64,"[0, 1, 2]"
67,62,[2]
67,60,[1]
68,66,"[0, 1, 2]"
69,65,[2]
69,44,[2]
70,67,"[1, 2]"
71,68,"[0, 1]"
71,65,[1]
72,68,[2]
72,70,[2]
73,71,"[0, 1]"
73,72,[2]
74,70,[1]
74,61,[2]
75,61,[0]
75,54,[0]
76,73,"[0, 1, 2]"
77,75,[0]
77,76,"[0, 2]"
78,74,"[1, 2]"
79,78,[2]
79,76,[1]
80,79,"[1, 2]"
81,80,[2]
81,77,[2]
82,78,[1]
82,81,[2]
83,82,"[1, 2]"
84,83,[2]
84,69,[2]
85,80,[1]
85,83,[1]
