true_rate,mle_rate
0.001098,5.9608609865491405e-06
0.001103,5.9608609865491405e-06
0.001293,5.9608609865491405e-06
0.001312,5.9608609865491405e-06
0.001346,5.9608609865491405e-06
0.001377,0.003583589646109195
0.001382,5.9608609865491405e-06
0.001868,0.002580243482143717
0.002205,5.9608609865491405e-06
0.002513,0.0022899749464174828
0.003094,0.002163250716147252
0.003149,0.006211748128388341
0.003201,0.002588745340754163
0.003487,5.9608609865491405e-06
0.003924,0.004377531998660252
0.004071,0.0046487407827001245
0.004326,5.9608609865491405e-06
0.005048,0.0039716635868514
0.005290,0.004790753412126987
0.005323,0.008332643669504805
0.005763,0.0072610678100349605
0.005942,0.010287545212695088
0.007318,0.01118638694847175
0.008801,0.010482783134091695
0.010178,0.008745101454535562
0.011137,0.009399694636800576
0.011546,0.002865113505669825
0.012514,0.011239879042856738
0.012738,0.021704104123943926
0.014145,0.009698767192475711
0.015810,0.02270295599670008
0.017192,0.0212862362522082
0.017193,0.012553811774879239
0.017740,0.012995062870462665
0.023337,0.03613775883396459
0.023711,0.03055274517695758
0.023748,0.024623732188035825
0.033988,0.0600912699692401
0.039071,0.02883538916058172
0.041199,0.04756494850961409
0.042200,0.04410012968812967
0.044194,0.04664897567399881
0.044719,0.04589873298004835
0.045363,0.027261970371148837
0.046272,0.04817082863261909
0.047988,0.030926428632009128
0.051380,0.05501748402410882
0.057736,0.034693222698069896
0.064657,0.08177015585741311
0.065836,0.0569937606489817
0.069753,0.07043642235191583
0.070803,0.07187214514790458
0.071470,0.09382462288828873
0.075214,0.042798218703434976
0.080498,0.053886864407892796
0.080918,0.07357163858890366
0.081950,0.09426126778528239
0.083737,0.061994610290954356
0.084238,0.08204073160623433
0.084761,0.10714726976420036
0.086461,0.06815502445992531
0.090807,0.06264688543432985
0.095459,0.059256229063246894
0.096441,0.08591363254825411
0.098666,0.09465626225106655
0.116291,0.1628392354799898
0.118104,0.1297512711051713
0.136120,0.13756384241031014
0.141888,0.1419888966238156
0.144637,0.12913021269251945
0.157117,0.14917693611937807
0.161916,0.1439167360962915
0.171366,0.20256287999543784
0.213990,0.17745583696591802
0.220567,0.21251727218078317
0.235572,0.1916578008178945
0.253818,0.22194235120019673
0.256479,0.33175915753992663
0.267600,0.2843904328859452
0.292004,0.32773453517481377
0.292853,0.31793474867656457
0.305491,0.2833330894844371
0.306804,0.3898849476405311
0.361617,0.36135673868966417
0.370509,0.42668228858632
0.372385,0.3966836242357151
0.377164,0.29788483291093926
0.415725,0.4048616309073887
0.417952,0.4404124284818766
0.461973,0.4422363573494577
0.484866,0.3667544612031142
0.554211,0.6085942854989406
0.606553,0.3854956383312514
0.654976,0.5556427377012201
0.751117,0.7173876849847908
0.778728,0.7026365188769021
0.818700,0.6569896823983173
0.858234,0.6945408000099649
0.885164,0.9999939576667859
0.995145,0.8906971084596786
