parent,child,segments
10,3,"[0, 1, 2]"
11,1,"[0, 1, 2]"
12,6,"[0, 1, 2]"
13,9,"[0, 1, 2]"
14,0,"[0, 1, 2]"
15,10,"[0, 1]"
16,7,"[0, 1, 2]"
17,14,[2]
17,11,"[1, 2]"
18,12,"[0, 2]"
19,17,"[1, 2]"
19,2,"[0, 1, 2]"
20,19,"[0, 1, 2]"
21,11,[0]
21,8,"[0, 1, 2]"
22,14,"[0, 1]"
23,20,"[0, 2]"
24,21,"[0, 1, 2]"
25,4,"[0, 1, 2]"
26,23,[2]
26,18,[2]
27,16,[2]
27,25,[0]
28,27,"[0, 2]"
29,5,"[0, 1, 2]"
30,18,[0]
30,29,[1]
31,26,[2]
31,28,[2]
32,25,"[1, 2]"
33,30,"[0, 1]"
34,16,"[0, 1]"
34,32,[2]
35,34,"[0, 1, 2]"
36,32,[1]
36,22,[0]
37,35,"[0, 1]"
37,15,[0]
38,13,"[1, 2]"
39,37,"[0, 1]"
40,36,"[0, 1]"
40,31,[2]
41,13,[0]
41,10,[2]
42,41,"[0, 2]"
43,29,"[0, 2]"
44,33,[0]
44,40,"[0, 1, 2]"
45,24,"[1, 2]"
46,43,[0]
46,38,[2]
47,44,"[0, 1, 2]"
48,23,[0]
48,33,[1]
49,48,"[0, 1]"
49,39,[1]
50,15,[1]
50,42,[2]
51,22,[1]
51,43,[2]
52,46,"[0, 2]"
53,51,"[1, 2]"
53,20,[1]
54,47,[2]
54,28,[0]
55,53,"[1, 2]"
56,47,"[0, 1]"
56,35,[2]
57,38,[1]
57,49,"[0, 1]"
58,39,[0]
58,42,[0]
59,56,"[0, 1, 2]"
60,54,"[0, 2]"
61,50,"[1, 2]"
62,45,[1]
62,55,[2]
63,61,[1]
63,52,[2]
64,57,"[0, 1]"
65,62,"[1, 2]"
66,64,[1]
66,24,[0]
67,59,"[0, 1]"
68,58,[0]
68,52,[0]
69,63,"[1, 2]"
70,68,[0]
70,12,[1]
71,70,"[0, 1]"
72,69,[2]
72,60,[2]
73,61,[2]
73,64,[0]
74,73,"[0, 2]"
75,45,[2]
75,65,[1]
76,75,"[1, 2]"
77,71,[0]
77,66,"[0, 1]"
78,59,[2]
78,67,[1]
79,76,[1]
79,71,[1]
80,77,"[0, 1]"
81,67,[0]
81,79,[1]
82,81,"[0, 1]"
83,55,[1]
83,74,[0]
84,80,[0]
84,65,[2]
85,84,"[0, 2]"
85,82,[1]
86,85,"[0, 1, 2]"
87,83,"[0, 1]"
88,80,[1]
88,72,[2]
89,88,"[1, 2]"
90,86,"[0, 1]"
91,90,[0]
91,86,[2]
92,78,"[1, 2]"
93,89,[2]
93,87,[1]
94,69,[1]
94,60,[0]
95,94,"[0, 1]"
96,91,"[0, 2]"
96,74,[2]
97,93,"[1, 2]"
97,90,[1]
98,97,"[1, 2]"
99,95,[1]
99,92,[1]
100,96,"[0, 2]"
101,100,[0]
101,95,[0]
102,89,[1]
102,92,[2]
103,102,"[1, 2]"
104,100,[2]
104,87,[0]
105,103,[2]
105,99,[1]
106,104,"[0, 2]"
107,76,[2]
107,103,[1]
108,105,"[1, 2]"
109,101,[0]
109,107,"[1, 2]"
110,109,"[0, 1, 2]"
111,106,[0]
111,106,[2]
112,110,"[0, 2]"
113,98,[1]
113,108,[2]
114,113,"[1, 2]"
115,98,[2]
115,112,[2]
116,111,"[0, 2]"
117,82,[0]
117,116,[2]
118,110,[1]
118,114,[1]
119,117,"[0, 2]"
120,112,[0]
120,118,[1]
121,120,"[0, 1]"
122,115,[2]
122,121,[1]
123,121,[0]
123,119,[2]
124,122,"[1, 2]"
125,123,"[0, 2]"
126,125,[2]
126,119,[0]
127,124,[2]
127,108,[1]
128,127,"[1, 2]"
129,126,"[0, 2]"
130,125,[0]
130,128,[2]
131,130,"[0, 2]"
132,116,[0]
132,131,[2]
133,128,[1]
133,129,[2]
134,129,[0]
134,133,"[1, 2]"
135,132,"[0, 2]"
136,134,"[0, 1, 2]"
137,135,[2]
137,114,[2]
138,136,"[0, 2]"
138,131,[0]
139,138,"[0, 2]"
140,137,[2]
140,139,[0]
141,135,[0]
141,124,[1]
142,141,"[0, 1]"
143,142,[0]
143,142,[1]
144,143,"[0, 1]"
145,140,"[0, 2]"
146,145,[2]
146,139,[2]
147,144,[0]
147,144,[1]
148,147,"[0, 1]"
149,148,[0]
149,148,[1]
150,149,"[0, 1]"
151,150,[0]
151,136,[1]
152,151,"[0, 1]"
153,152,[1]
153,150,[1]
154,152,[0]
154,145,[0]
