parent,child,segments
10,5,"[0, 1, 2]"
10,7,"[0, 1, 2]"
11,4,"[0, 1, 2]"
11,10,"[0, 1, 2]"
12,0,"[0, 1, 2]"
13,2,"[0, 1, 2]"
13,12,"[0, 1]"
14,8,"[0, 1, 2]"
14,3,"[0, 1, 2]"
15,12,[2]
15,6,"[0, 1, 2]"
16,15,"[0, 1, 2]"
17,16,[2]
17,1,"[0, 1, 2]"
18,9,"[0, 1, 2]"
19,14,"[0, 1, 2]"
19,16,"[0, 1]"
20,17,"[0, 1, 2]"
20,11,"[0, 1, 2]"
21,18,[2]
21,13,"[0, 1, 2]"
22,18,"[0, 1]"
22,21,"[0, 1, 2]"
23,20,"[0, 1, 2]"
23,22,"[0, 1, 2]"
24,23,"[0, 1, 2]"
25,24,[2]
25,19,"[0, 1, 2]"
26,25,"[0, 1]"
27,26,[1]
27,26,[0]
28,27,"[0, 1]"
28,24,"[0, 1]"
