parent,child,segments
10,0,"[0, 1, 2]"
11,7,"[0, 1, 2]"
12,4,"[0, 1, 2]"
13,3,"[0, 1, 2]"
13,8,"[0, 1, 2]"
14,1,"[0, 1, 2]"
14,9,"[0, 1, 2]"
15,5,"[0, 1, 2]"
16,14,"[0, 1, 2]"
17,15,"[1, 2]"
17,11,"[0, 2]"
18,17,"[0, 1, 2]"
19,16,"[0, 1]"
20,13,"[0, 1, 2]"
21,18,"[0, 2]"
21,2,"[0, 1, 2]"
22,10,"[0, 1]"
23,20,"[0, 2]"
23,12,"[0, 1]"
24,6,"[0, 1, 2]"
25,20,[1]
25,10,[2]
26,15,[0]
26,12,[2]
27,22,[1]
27,16,[2]
28,21,"[0, 1, 2]"
29,27,"[1, 2]"
30,29,[1]
30,22,[0]
31,25,"[1, 2]"
32,26,"[0, 2]"
33,19,[0]
33,28,"[1, 2]"
34,32,[0]
34,29,[2]
35,31,[1]
35,24,"[1, 2]"
36,31,[2]
36,34,"[0, 2]"
37,23,"[0, 1, 2]"
37,33,"[0, 1, 2]"
38,37,"[0, 1, 2]"
39,35,"[1, 2]"
40,30,"[0, 1]"
41,19,[1]
41,32,[2]
42,41,"[1, 2]"
43,38,"[0, 1]"
44,11,[1]
44,43,[1]
45,36,"[0, 2]"
45,28,[0]
46,40,[1]
46,45,"[0, 2]"
47,46,"[0, 1, 2]"
47,44,[1]
48,40,[0]
48,43,[0]
49,42,[1]
49,42,[2]
50,47,"[0, 1, 2]"
50,39,[2]
51,49,"[1, 2]"
52,50,"[0, 1, 2]"
52,51,[1]
53,38,[2]
53,18,[1]
54,52,"[0, 1, 2]"
55,54,"[1, 2]"
56,53,"[1, 2]"
57,55,[1]
57,24,[0]
58,39,[1]
58,55,[2]
59,57,"[0, 1]"
60,56,[2]
60,59,[0]
61,58,"[1, 2]"
61,59,[1]
62,51,[2]
62,54,[0]
63,61,"[1, 2]"
64,60,"[0, 2]"
65,64,[0]
65,63,[1]
66,65,"[0, 1]"
67,62,"[0, 2]"
68,66,[0]
68,67,[0]
69,67,[2]
69,48,[0]
70,69,"[0, 2]"
70,66,[1]
71,70,"[0, 1, 2]"
72,56,[1]
72,63,[2]
73,72,"[1, 2]"
73,71,"[0, 2]"
74,73,"[0, 1, 2]"
75,74,"[0, 2]"
76,64,[2]
76,75,[0]
77,76,"[0, 2]"
78,77,[0]
78,77,[2]
79,74,[1]
79,78,"[0, 2]"
80,79,"[0, 1, 2]"
81,80,"[0, 2]"
82,75,[2]
82,81,[0]
83,82,"[0, 2]"
84,83,[0]
84,71,[1]
85,84,"[0, 1]"
86,81,[2]
86,68,[0]
87,86,"[0, 2]"
88,85,[0]
88,85,[1]
89,88,"[0, 1]"
90,83,[2]
90,87,[0]
91,90,"[0, 2]"
92,89,[0]
92,87,[2]
93,92,"[0, 2]"
94,91,[0]
94,93,[2]
95,94,"[0, 2]"
96,95,[0]
96,95,[2]
97,96,"[0, 2]"
98,80,[1]
98,97,[0]
99,89,[1]
99,98,"[0, 1]"
100,99,[0]
100,97,[2]
101,100,"[0, 2]"
102,93,[0]
102,91,[2]
103,102,"[0, 2]"
104,103,[0]
104,103,[2]
105,104,"[0, 2]"
105,101,[2]
106,101,[0]
106,105,[0]
