parent,child,segments
10,3,"[0, 1, 2]"
11,9,"[0, 1, 2]"
11,0,"[0, 1, 2]"
12,10,"[0, 1]"
12,8,"[0, 1, 2]"
13,6,"[0, 1, 2]"
14,4,"[0, 1, 2]"
14,11,"[0, 1, 2]"
15,14,"[0, 1, 2]"
15,13,[2]
16,15,"[0, 1, 2]"
16,5,"[0, 1, 2]"
17,16,"[0, 1, 2]"
18,13,"[0, 1]"
18,2,"[0, 1, 2]"
19,1,"[0, 1, 2]"
20,7,"[0, 1, 2]"
21,20,[2]
21,20,"[0, 1]"
22,18,"[0, 1, 2]"
23,17,"[0, 2]"
23,22,"[0, 2]"
24,12,"[0, 1, 2]"
24,19,[2]
25,21,"[0, 1, 2]"
25,22,[1]
26,17,[1]
26,24,"[0, 1, 2]"
27,23,"[0, 2]"
27,10,[2]
28,25,"[0, 1, 2]"
28,26,"[0, 1, 2]"
29,19,"[0, 1]"
30,27,"[0, 2]"
30,28,"[0, 1, 2]"
31,30,"[0, 1]"
31,29,[1]
32,31,[0]
32,29,[0]
