parent,child,segments
10,1,"[0, 1, 2]"
11,3,"[0, 1, 2]"
12,2,"[0, 1, 2]"
13,7,"[0, 1, 2]"
13,6,"[0, 1, 2]"
14,10,[0]
14,11,[1]
15,9,"[0, 1, 2]"
15,12,"[0, 2]"
16,10,"[1, 2]"
17,8,"[0, 1, 2]"
17,0,"[0, 1, 2]"
18,13,"[0, 1, 2]"
18,16,[1]
19,18,"[0, 1, 2]"
20,5,"[0, 1, 2]"
21,17,"[0, 1, 2]"
21,12,[1]
22,21,"[0, 1, 2]"
23,19,[1]
23,20,[1]
24,22,[0]
24,22,"[1, 2]"
25,4,"[0, 1, 2]"
25,16,[2]
26,11,"[0, 2]"
27,24,"[0, 1, 2]"
28,14,"[0, 1]"
28,26,[0]
29,20,"[0, 2]"
29,19,"[0, 2]"
30,28,"[0, 1]"
31,29,"[0, 2]"
31,23,[1]
32,15,"[0, 1, 2]"
32,31,"[0, 1, 2]"
33,32,"[0, 1, 2]"
34,33,"[1, 2]"
34,25,"[0, 1, 2]"
35,34,"[0, 1, 2]"
36,33,[0]
36,27,[1]
37,26,[2]
37,30,[0]
38,35,"[0, 2]"
38,37,"[0, 2]"
39,36,"[0, 1]"
39,30,[1]
40,38,"[0, 2]"
40,39,"[0, 1]"
41,27,"[0, 2]"
42,35,[1]
42,41,[0]
43,40,"[0, 1, 2]"
44,43,[2]
44,42,"[0, 1]"
45,44,"[0, 1, 2]"
46,43,"[0, 1]"
47,45,"[0, 1]"
47,46,[1]
48,47,[0]
48,45,[2]
49,48,"[0, 2]"
50,41,[2]
50,49,[0]
51,46,[0]
51,50,"[0, 2]"
52,49,[2]
52,51,[2]
