parent,child,segments
10,7,"[0, 1, 2]"
11,10,[0]
11,10,"[1, 2]"
12,2,"[0, 1, 2]"
13,8,"[0, 1, 2]"
14,1,"[0, 1, 2]"
15,0,"[0, 1, 2]"
16,14,"[0, 1]"
17,13,"[0, 1]"
17,12,"[0, 2]"
18,17,"[0, 1, 2]"
19,4,"[0, 1, 2]"
20,9,"[0, 1, 2]"
21,19,"[0, 2]"
21,15,[2]
22,11,"[0, 1, 2]"
23,3,"[0, 1, 2]"
24,21,"[0, 2]"
25,18,"[0, 2]"
26,19,[1]
26,23,"[1, 2]"
27,14,[2]
27,24,[2]
28,6,"[0, 1, 2]"
29,27,[2]
29,25,[0]
30,28,"[1, 2]"
31,20,"[1, 2]"
31,12,[1]
32,24,[0]
32,22,"[0, 1]"
33,29,"[0, 2]"
33,31,"[1, 2]"
34,32,"[0, 1]"
34,16,[1]
35,18,[1]
35,26,"[1, 2]"
36,35,"[1, 2]"
37,30,[2]
37,16,[0]
38,15,"[0, 1]"
38,20,[0]
39,37,"[0, 2]"
39,38,"[0, 1]"
40,39,"[0, 1, 2]"
41,23,[0]
41,36,[1]
42,25,[2]
42,34,"[0, 1]"
43,36,[2]
43,40,[0]
44,33,"[0, 1, 2]"
45,42,"[0, 1, 2]"
46,43,"[0, 2]"
47,13,[2]
47,45,"[1, 2]"
48,5,"[0, 1, 2]"
49,28,[0]
49,22,[2]
50,46,[0]
50,49,"[0, 2]"
51,41,"[0, 1]"
52,47,"[1, 2]"
53,40,"[1, 2]"
53,51,[0]
54,48,"[1, 2]"
55,52,[1]
55,46,[2]
56,44,"[0, 1]"
57,56,[1]
57,30,[1]
58,55,"[1, 2]"
58,57,[1]
59,45,[0]
59,52,[2]
60,58,"[1, 2]"
61,53,"[0, 1, 2]"
62,50,"[0, 2]"
63,59,"[0, 2]"
63,54,[2]
64,63,"[0, 2]"
65,61,"[0, 1]"
66,61,[2]
66,62,[0]
67,60,[2]
67,65,[1]
68,62,[2]
68,64,[0]
69,68,"[0, 2]"
70,69,[0]
70,56,[0]
71,66,"[0, 2]"
72,67,"[1, 2]"
73,64,[2]
73,72,[2]
74,70,[0]
74,44,[2]
75,73,[2]
75,60,[1]
76,71,[2]
76,48,[0]
77,74,"[0, 2]"
78,77,[2]
78,71,[0]
79,76,"[0, 2]"
79,78,"[0, 2]"
80,79,"[0, 2]"
81,75,"[1, 2]"
81,69,[2]
82,81,"[1, 2]"
83,82,[1]
83,65,[0]
84,83,"[0, 1]"
85,82,[2]
85,84,[0]
86,80,[2]
86,54,[1]
87,80,[0]
87,77,[0]
88,86,"[1, 2]"
88,72,[1]
89,87,[0]
89,84,[1]
90,89,"[0, 1]"
91,88,"[1, 2]"
92,85,"[0, 2]"
92,90,[0]
93,90,[1]
93,92,[2]
94,93,"[1, 2]"
95,94,[1]
95,91,[2]
96,95,"[1, 2]"
97,51,[1]
97,94,[2]
98,97,"[1, 2]"
99,98,[2]
99,96,[2]
100,91,[1]
100,96,[1]
101,100,[1]
101,98,[1]
