parent,child,segments
10,4,"[0, 1, 2]"
11,3,"[0, 1, 2]"
11,10,[2]
12,8,"[0, 1, 2]"
12,2,"[0, 1, 2]"
13,1,"[0, 1, 2]"
13,9,"[0, 1, 2]"
14,11,"[0, 1, 2]"
14,12,"[0, 1, 2]"
15,13,"[0, 1, 2]"
15,7,"[0, 1, 2]"
16,10,"[0, 1]"
16,6,"[0, 1, 2]"
17,14,"[0, 1, 2]"
17,16,"[0, 1, 2]"
18,5,"[0, 1, 2]"
19,0,"[0, 1, 2]"
19,18,"[1, 2]"
20,15,"[0, 1, 2]"
20,18,[0]
21,19,"[0, 1, 2]"
22,20,"[0, 1, 2]"
22,21,[2]
23,22,"[0, 1, 2]"
23,21,"[0, 1]"
24,23,"[0, 1, 2]"
25,24,"[0, 2]"
25,24,[1]
26,17,"[0, 1, 2]"
26,25,"[0, 1, 2]"
