parent,child,segments
10,9,"[0, 1, 2]"
11,10,[1]
11,2,"[0, 1, 2]"
12,8,"[0, 1, 2]"
13,12,"[0, 1]"
13,0,"[0, 1, 2]"
14,7,"[0, 1, 2]"
15,13,"[0, 1, 2]"
16,14,"[0, 1]"
16,12,[2]
17,15,[0]
17,14,[2]
18,10,"[0, 2]"
18,11,"[0, 1, 2]"
19,18,"[0, 1, 2]"
20,4,"[0, 1, 2]"
21,20,"[1, 2]"
21,19,[0]
22,5,"[0, 1, 2]"
23,22,"[0, 1]"
24,15,"[1, 2]"
24,19,"[1, 2]"
25,21,"[0, 1, 2]"
25,23,[0]
26,1,"[0, 1, 2]"
27,3,"[0, 1, 2]"
28,27,"[1, 2]"
29,20,[0]
29,23,[1]
30,28,[1]
30,22,[2]
31,16,"[0, 1, 2]"
32,24,"[1, 2]"
33,28,[2]
33,6,"[0, 1, 2]"
34,26,[2]
34,30,"[1, 2]"
35,33,"[0, 1, 2]"
36,32,[2]
36,26,"[0, 1]"
37,31,"[0, 1]"
38,32,[1]
38,17,"[0, 2]"
39,37,[0]
39,29,"[0, 1]"
40,34,"[1, 2]"
41,38,"[0, 1, 2]"
41,36,"[0, 1, 2]"
42,40,[2]
42,35,[0]
43,25,"[0, 1, 2]"
43,39,"[0, 1]"
44,43,"[0, 1, 2]"
44,35,"[1, 2]"
45,41,"[0, 1, 2]"
46,45,"[0, 2]"
47,44,"[0, 1, 2]"
47,37,[1]
48,42,"[0, 2]"
49,46,[2]
49,40,[1]
50,49,"[1, 2]"
51,50,[1]
51,31,[2]
52,45,[1]
52,50,[2]
53,47,"[0, 1, 2]"
54,27,[0]
54,51,"[1, 2]"
55,54,"[0, 1, 2]"
56,48,[2]
56,46,[0]
57,55,[1]
57,53,"[1, 2]"
58,53,[0]
58,48,[0]
59,57,"[1, 2]"
60,55,"[0, 2]"
61,59,[2]
61,60,[2]
62,58,[0]
62,59,[1]
63,62,"[0, 1]"
63,56,"[0, 2]"
64,63,"[0, 1, 2]"
65,64,"[1, 2]"
65,60,[0]
66,65,"[0, 1, 2]"
66,52,"[1, 2]"
67,66,"[0, 2]"
67,64,[0]
68,67,[2]
68,61,[2]
