parent,child,segments
10,4,"[0, 1, 2]"
10,8,"[0, 1, 2]"
11,1,"[0, 1, 2]"
12,5,"[0, 1, 2]"
13,6,"[0, 1, 2]"
14,2,"[0, 1, 2]"
15,3,"[0, 1, 2]"
16,15,"[1, 2]"
17,0,"[0, 1, 2]"
18,9,"[0, 1, 2]"
18,15,[0]
19,16,[1]
19,12,"[1, 2]"
20,7,"[0, 1, 2]"
21,20,"[0, 1]"
22,12,[0]
22,19,"[1, 2]"
23,13,[0]
23,17,[0]
24,18,"[0, 1, 2]"
25,20,[2]
25,10,"[0, 1, 2]"
26,22,"[0, 1, 2]"
27,24,"[1, 2]"
28,17,"[1, 2]"
29,16,[2]
29,14,[1]
30,14,"[0, 2]"
31,29,"[1, 2]"
31,11,[0]
32,11,"[1, 2]"
33,31,"[0, 1, 2]"
34,33,"[1, 2]"
35,33,[0]
35,24,[0]
36,25,"[0, 1, 2]"
37,26,"[0, 1]"
38,13,"[1, 2]"
39,32,[1]
39,27,[1]
40,38,[1]
40,37,[1]
41,40,[1]
41,23,[0]
42,41,"[0, 1]"
43,28,[2]
43,21,[1]
44,36,"[0, 2]"
44,27,[2]
45,44,"[0, 2]"
46,32,[2]
46,38,[2]
47,35,[0]
47,26,[2]
48,46,[2]
48,45,[2]
49,43,"[1, 2]"
50,30,[0]
50,37,[0]
51,34,[2]
51,47,"[0, 2]"
52,39,[1]
52,45,[0]
53,51,"[0, 2]"
54,52,"[0, 1]"
54,48,[2]
55,54,"[0, 1, 2]"
56,42,[0]
56,50,[0]
57,55,"[0, 2]"
58,28,[1]
58,57,[0]
59,42,[1]
59,53,[2]
60,49,[1]
60,34,[1]
61,59,"[1, 2]"
62,58,"[0, 1]"
62,49,[2]
63,61,[2]
63,53,[0]
64,62,"[0, 1, 2]"
64,63,"[0, 2]"
65,64,"[0, 1, 2]"
66,36,[1]
66,21,[0]
67,60,[1]
67,56,[0]
68,66,"[0, 1]"
69,67,"[0, 1]"
70,69,[1]
70,68,[0]
71,65,"[0, 1]"
72,70,"[0, 1]"
73,69,[0]
73,30,[2]
74,68,[1]
74,61,[1]
75,57,[2]
75,74,[1]
76,73,"[0, 2]"
76,71,[0]
77,76,"[0, 2]"
78,55,[1]
78,72,[1]
79,77,[2]
79,72,[0]
80,79,"[0, 2]"
81,71,[1]
81,75,"[1, 2]"
82,81,"[1, 2]"
83,77,[0]
83,80,[0]
84,80,[2]
84,78,[1]
85,84,"[1, 2]"
86,82,[1]
86,65,[2]
87,86,"[1, 2]"
87,85,[1]
88,87,[2]
88,82,[2]
89,85,[2]
89,88,[2]
