parent,child,segments
10,7,"[0, 1, 2]"
10,9,"[0, 1, 2]"
11,4,"[0, 1, 2]"
11,0,"[0, 1, 2]"
12,3,"[0, 1, 2]"
13,1,"[0, 1, 2]"
13,6,"[0, 1, 2]"
14,2,"[0, 1, 2]"
15,11,"[0, 1, 2]"
15,10,"[0, 1, 2]"
16,14,"[0, 2]"
16,8,"[0, 1, 2]"
17,13,"[0, 1, 2]"
17,16,"[0, 1, 2]"
18,15,"[0, 1, 2]"
18,12,"[1, 2]"
19,17,"[0, 1, 2]"
20,19,"[0, 2]"
20,14,[1]
21,20,"[0, 1, 2]"
21,12,[0]
22,21,"[0, 1, 2]"
22,19,[1]
23,18,"[0, 1, 2]"
24,23,[0]
24,23,"[1, 2]"
25,24,"[0, 1, 2]"
25,5,"[0, 1, 2]"
26,22,"[0, 1, 2]"
26,25,"[0, 1, 2]"
