parent,child,segments
10,9,"[0, 1, 2]"
10,8,"[0, 1, 2]"
11,10,"[0, 1, 2]"
11,0,"[0, 1, 2]"
12,11,"[0, 1, 2]"
13,12,[1]
13,6,"[0, 1, 2]"
14,3,"[0, 1, 2]"
15,4,"[0, 1, 2]"
16,1,"[0, 1, 2]"
17,15,[1]
17,14,[0]
18,16,"[1, 2]"
19,5,"[0, 1, 2]"
19,12,"[0, 2]"
20,15,"[0, 2]"
20,19,"[0, 1, 2]"
21,14,"[1, 2]"
22,13,"[0, 1, 2]"
23,7,"[0, 1, 2]"
24,22,"[0, 2]"
24,17,"[0, 1]"
25,21,[1]
25,22,[1]
26,20,"[0, 1, 2]"
27,24,"[0, 1, 2]"
27,21,[2]
28,2,"[0, 1, 2]"
29,28,"[1, 2]"
29,28,[0]
30,23,[0]
30,18,[2]
31,16,[0]
31,30,"[0, 2]"
32,26,"[0, 1]"
33,18,[1]
33,31,"[0, 2]"
34,26,[2]
34,25,[1]
35,27,"[0, 1, 2]"
35,33,"[0, 1, 2]"
36,35,"[0, 1, 2]"
37,29,"[0, 1, 2]"
38,37,"[0, 1]"
39,32,[1]
39,34,"[1, 2]"
40,32,[0]
40,37,[2]
41,40,"[0, 2]"
41,39,"[1, 2]"
42,23,"[1, 2]"
42,41,"[0, 1, 2]"
43,36,"[0, 1]"
44,43,[1]
44,43,[0]
45,42,"[0, 1, 2]"
46,44,"[0, 1]"
47,45,"[0, 2]"
48,47,[0]
48,46,[0]
49,38,[0]
49,45,[1]
50,36,[2]
50,47,[2]
51,48,[0]
51,38,[1]
52,46,[1]
52,49,"[0, 1]"
53,52,"[0, 1]"
54,53,[0]
54,53,[1]
55,51,"[0, 1]"
56,55,[1]
56,54,"[0, 1]"
57,55,[0]
57,56,[0]
