parent,child,segments
10,4,"[0, 1, 2]"
10,0,"[0, 1, 2]"
11,2,"[0, 1, 2]"
11,6,"[0, 1, 2]"
12,10,"[0, 1, 2]"
12,1,"[0, 1, 2]"
13,5,"[0, 1, 2]"
13,11,"[0, 1, 2]"
14,3,"[0, 1, 2]"
14,13,"[0, 1, 2]"
15,14,"[0, 1, 2]"
15,12,"[0, 1, 2]"
16,8,"[0, 1, 2]"
17,7,"[0, 1, 2]"
18,9,"[0, 1, 2]"
18,17,[1]
19,15,"[0, 1, 2]"
19,17,"[0, 2]"
20,18,"[0, 1, 2]"
20,16,"[1, 2]"
21,20,"[0, 1, 2]"
22,16,[0]
22,21,[0]
23,19,"[0, 1, 2]"
24,23,[1]
24,23,"[0, 2]"
25,24,"[0, 1, 2]"
25,22,[0]
26,21,"[1, 2]"
27,26,[2]
27,26,[1]
28,25,"[1, 2]"
28,27,"[1, 2]"
