parent,child,segments
10,3,"[0, 1, 2]"
11,4,"[0, 1, 2]"
11,8,"[0, 1, 2]"
12,11,"[0, 1, 2]"
13,5,"[0, 1, 2]"
14,7,"[0, 1, 2]"
15,6,"[0, 1, 2]"
16,13,"[0, 2]"
17,12,[1]
17,1,"[0, 1, 2]"
18,10,"[1, 2]"
19,16,[2]
19,14,[1]
20,0,"[0, 1, 2]"
20,14,"[0, 2]"
21,13,[1]
21,15,[1]
22,9,"[0, 1, 2]"
22,15,"[0, 2]"
23,18,[2]
23,19,"[1, 2]"
24,20,"[0, 1, 2]"
24,18,[1]
25,24,"[0, 1, 2]"
26,25,[0]
26,22,"[0, 1, 2]"
27,25,"[1, 2]"
28,17,"[0, 1, 2]"
29,26,"[0, 1, 2]"
29,27,[2]
30,29,"[0, 1, 2]"
31,27,[1]
31,10,[0]
32,31,"[0, 1]"
32,16,[0]
33,23,"[1, 2]"
34,12,"[0, 2]"
34,28,"[0, 1]"
35,34,"[0, 1, 2]"
35,21,[1]
36,30,"[1, 2]"
37,36,[2]
37,36,[1]
38,35,"[0, 1, 2]"
38,33,[2]
39,30,[0]
39,33,[1]
40,37,"[1, 2]"
41,2,"[0, 1, 2]"
42,28,[2]
42,40,[2]
43,38,"[0, 1, 2]"
44,42,[2]
44,41,"[0, 1]"
45,44,"[0, 1, 2]"
46,43,[2]
46,43,"[0, 1]"
47,32,"[0, 1]"
48,47,[0]
48,45,[1]
49,46,"[0, 1, 2]"
50,48,"[0, 1]"
51,45,"[0, 2]"
52,39,"[0, 1]"
53,50,[1]
53,40,[1]
54,51,[2]
54,41,[2]
55,54,[2]
55,47,[1]
56,55,"[1, 2]"
57,49,"[1, 2]"
58,51,[0]
58,56,[2]
59,53,[1]
59,49,[0]
60,52,[0]
60,57,[1]
61,59,"[0, 1]"
61,58,"[0, 2]"
62,61,"[0, 1, 2]"
63,50,[0]
63,52,[1]
64,63,"[0, 1]"
65,57,[2]
65,56,[1]
66,64,[1]
66,62,[0]
67,66,"[0, 1]"
67,65,"[1, 2]"
68,67,"[0, 1, 2]"
69,62,"[1, 2]"
70,60,"[0, 1]"
71,69,[2]
71,64,[0]
72,68,"[0, 1]"
72,68,[2]
73,72,"[0, 1, 2]"
73,71,"[0, 2]"
74,73,"[0, 1]"
75,74,[0]
75,74,[1]
76,70,[1]
76,69,[1]
77,75,"[0, 1]"
77,70,[0]
78,77,[1]
78,76,[1]
