parent,child,segments
10,1,"[0, 1, 2]"
10,3,"[0, 1, 2]"
11,9,"[0, 1, 2]"
11,8,"[0, 1, 2]"
12,0,"[0, 1, 2]"
12,10,"[0, 1, 2]"
13,6,"[0, 1, 2]"
13,12,"[0, 1, 2]"
14,13,"[0, 1, 2]"
15,7,"[0, 1, 2]"
16,15,"[0, 2]"
16,2,"[0, 1, 2]"
17,4,"[0, 1, 2]"
18,17,"[0, 2]"
19,18,[0]
19,14,"[1, 2]"
20,5,"[0, 1, 2]"
21,11,"[0, 1, 2]"
21,15,[1]
22,14,[0]
22,16,"[0, 1, 2]"
23,20,[0]
23,17,[1]
24,19,"[0, 1, 2]"
24,22,"[0, 1, 2]"
25,24,"[0, 1, 2]"
26,18,[2]
26,25,"[0, 1]"
27,25,[2]
27,26,"[0, 1, 2]"
28,27,"[0, 1, 2]"
28,20,"[1, 2]"
29,23,"[0, 1]"
29,28,"[0, 1, 2]"
30,21,"[0, 1, 2]"
30,29,"[0, 1, 2]"
