parent,child,segments
10,0,"[0, 1, 2]"
10,5,"[0, 1, 2]"
11,6,"[0, 1, 2]"
12,8,"[0, 1, 2]"
13,11,[0]
13,4,"[0, 1, 2]"
14,12,"[0, 1]"
14,7,"[0, 1, 2]"
15,10,"[0, 1, 2]"
16,9,"[0, 1, 2]"
17,2,"[0, 1, 2]"
18,13,"[0, 1, 2]"
19,18,[1]
19,1,"[0, 1, 2]"
20,15,"[0, 1]"
21,16,[0]
21,17,[0]
22,18,"[0, 2]"
22,20,[0]
23,11,"[1, 2]"
23,16,"[1, 2]"
24,23,"[1, 2]"
25,14,"[0, 1, 2]"
26,19,"[0, 1, 2]"
27,22,"[0, 2]"
28,17,"[1, 2]"
29,12,[2]
29,28,[2]
30,27,[2]
30,24,[1]
31,28,[1]
31,30,"[1, 2]"
32,3,"[0, 1, 2]"
33,25,[0]
33,27,[0]
34,33,[0]
34,24,[2]
35,32,"[1, 2]"
35,25,"[1, 2]"
36,31,"[1, 2]"
36,29,[2]
37,35,"[1, 2]"
38,26,[2]
38,26,"[0, 1]"
39,15,[2]
39,37,[1]
40,36,"[1, 2]"
41,37,[2]
41,20,[1]
42,34,"[0, 2]"
42,32,[0]
43,38,"[0, 1, 2]"
44,42,"[0, 2]"
44,40,[2]
45,44,"[0, 2]"
46,40,[1]
46,41,"[1, 2]"
47,43,"[0, 2]"
47,43,[1]
48,47,"[0, 1, 2]"
48,39,"[1, 2]"
49,48,"[0, 1, 2]"
50,45,[0]
50,49,[0]
51,46,"[1, 2]"
52,21,[0]
52,49,"[1, 2]"
53,52,"[0, 1, 2]"
54,45,[2]
54,53,"[1, 2]"
55,50,[0]
55,51,[2]
56,55,"[0, 2]"
57,54,"[1, 2]"
58,57,[1]
58,56,[0]
59,58,"[0, 1]"
60,59,[1]
60,53,[0]
61,57,[2]
61,60,"[0, 1]"
62,61,"[0, 1, 2]"
63,62,"[0, 1]"
64,62,[2]
64,59,[0]
65,64,"[0, 2]"
66,65,[2]
66,65,[0]
67,56,[2]
67,51,[1]
68,67,"[1, 2]"
68,63,[1]
69,66,"[0, 2]"
70,69,[0]
70,63,[0]
71,68,[2]
71,69,[2]
