parent,child,segments
10,9,"[0, 1, 2]"
11,3,"[0, 1, 2]"
12,6,"[0, 1, 2]"
13,0,"[0, 1, 2]"
14,12,"[1, 2]"
15,11,"[0, 2]"
15,4,"[0, 1, 2]"
16,7,"[0, 1, 2]"
16,8,"[0, 1, 2]"
17,15,"[0, 1, 2]"
18,1,"[0, 1, 2]"
18,17,[2]
19,18,"[0, 1, 2]"
20,19,"[1, 2]"
21,20,[2]
21,10,"[1, 2]"
22,5,"[0, 1, 2]"
23,16,"[0, 1, 2]"
24,13,"[0, 1]"
25,13,[2]
25,22,[2]
26,10,[0]
26,14,[1]
27,21,"[1, 2]"
28,22,"[0, 1]"
28,17,"[0, 1]"
29,28,"[0, 1]"
30,2,"[0, 1, 2]"
31,12,[0]
31,14,[2]
32,30,[2]
32,23,"[0, 1]"
33,27,[2]
33,11,[1]
34,32,"[0, 1, 2]"
35,30,"[0, 1]"
36,33,"[1, 2]"
36,35,[1]
37,36,"[1, 2]"
37,31,"[0, 2]"
38,37,"[0, 1, 2]"
39,24,[0]
39,38,[0]
40,26,"[0, 1]"
41,38,"[1, 2]"
42,29,[1]
42,35,[0]
43,23,[2]
43,39,[0]
44,42,"[0, 1]"
45,27,[1]
45,20,[1]
46,43,"[0, 2]"
47,40,[0]
47,46,[0]
48,24,[1]
48,44,[0]
49,34,"[0, 1]"
50,40,[1]
50,34,[2]
51,41,[1]
51,25,[2]
52,48,"[0, 1]"
53,46,[2]
53,51,"[1, 2]"
54,29,[0]
54,52,[0]
55,19,[0]
55,50,"[1, 2]"
56,53,"[1, 2]"
57,45,[1]
57,49,[0]
58,57,"[0, 1]"
58,56,[2]
59,55,"[0, 1, 2]"
60,54,[0]
60,41,[2]
61,44,[1]
61,47,[0]
62,58,"[0, 1, 2]"
63,60,"[0, 2]"
63,59,"[0, 2]"
64,62,"[0, 1]"
65,62,[2]
65,63,"[0, 2]"
66,61,"[0, 1]"
66,64,[0]
67,66,"[0, 1]"
68,59,[1]
68,67,[1]
69,65,[0]
69,56,[1]
70,67,[0]
70,64,[1]
71,69,"[0, 1]"
72,70,"[0, 1]"
72,52,[1]
73,72,"[0, 1]"
74,68,[1]
74,73,[0]
75,74,"[0, 1]"
76,75,[0]
76,49,[1]
77,76,"[0, 1]"
78,77,[1]
78,71,[0]
79,75,[1]
79,73,[1]
80,78,"[0, 1]"
81,80,[1]
81,71,[1]
82,79,[1]
82,77,[0]
83,82,"[0, 1]"
84,81,[1]
84,80,[0]
85,84,"[0, 1]"
86,83,[0]
86,85,[1]
87,86,"[0, 1]"
88,87,[1]
88,87,[0]
89,88,"[0, 1]"
90,85,[0]
90,89,[0]
91,89,[1]
91,83,[1]
