parent,child,segments
10,5,"[0, 1, 2]"
10,4,"[0, 1, 2]"
11,1,"[0, 1, 2]"
11,7,"[0, 1, 2]"
12,6,"[0, 1, 2]"
13,8,"[0, 1, 2]"
13,0,"[0, 1, 2]"
14,3,"[0, 1, 2]"
15,9,"[0, 1, 2]"
16,14,[0]
16,13,"[0, 1, 2]"
17,15,[1]
17,16,"[0, 1, 2]"
18,10,"[0, 1, 2]"
18,15,"[0, 2]"
19,12,[2]
19,2,"[0, 1, 2]"
20,17,"[0, 1, 2]"
21,20,"[0, 1]"
21,12,"[0, 1]"
22,14,"[1, 2]"
22,21,"[0, 1]"
23,11,"[0, 1, 2]"
23,19,"[0, 1, 2]"
24,22,"[0, 1, 2]"
25,24,"[1, 2]"
25,23,"[0, 1, 2]"
26,25,"[0, 1, 2]"
26,20,[2]
27,26,"[0, 1, 2]"
28,18,"[0, 1, 2]"
28,24,[0]
29,28,"[0, 1, 2]"
30,29,"[1, 2]"
30,27,[1]
31,30,[2]
31,29,[0]
32,27,"[0, 2]"
32,31,"[0, 2]"
